A,B,C,D,E
2023-01-01,2.686379022885917,0.44724368816329896,1.017065195364951,2.6111829402243227
2023-01-02,3.9098339761766017,-0.10229473258774968,1.0338290123624505,3.9628866529119553
2023-01-03,2.400090073829517,3.5667698701418846,1.0502864835117298,4.947694920531898
2023-01-04,3.6632054626466886,4.580428995962712,1.0664327321089055,5.021712240406455
2023-01-05,3.214367280508858,5.647561405110634,1.0822629736720544,4.634402959539714
2023-01-06,2.3009196348379253,6.231824913830766,1.0977725173589559,3.9803702743887523
2023-01-07,2.5914710574748345,6.1589417995918625,1.1129567673570928,4.42653257549906
2023-01-08,3.1313003326432964,7.630466798554319,1.1278112242454876,2.4806560824542307
2023-01-09,4.058663165959482,9.274422231554622,1.1423314863279788,3.751988839096915
2023-01-10,3.057413312355988,9.89990851432419,1.1565132509375382,3.249881256404119
2023-01-11,3.9275456079204742,9.80793361056876,1.1703523157112448,4.572670824970829
2023-01-12,3.7361922877589713,11.830998404519413,1.1838445798355344,5.186671171675582
2023-01-13,2.0393539094507735,14.26754472947201,1.1969860452613603,4.808667170404822
2023-01-14,2.8157729418845325,12.345451808846619,1.2097728178889007,4.464547110877286
2023-01-15,2.9508747308272203,14.053315001079534,1.2222011087214644,5.482920221493563
2023-01-16,0.5691203209534654,15.846514506160245,1.2342672349882542,4.939705581184332
2023-01-17,2.422385324024334,16.370266262963476,1.2459676212356483,4.06263906829524
2023-01-18,1.627882724519446,17.432348133197593,1.2572988003866865,3.611870074864325
2023-01-19,3.988581711930346,17.344210563495746,1.2682574147684398,4.790107086926139
2023-01-20,3.241426482939023,19.699054220351652,1.2788402171069604,6.327333597786907
2023-01-21,1.9881654080744733,20.686126927759716,1.28904407148952,3.677565589714226
2023-01-22,3.3670822708150334,20.824196968934608,1.2988659542938474,3.590945475624478
2023-01-23,1.9663481882463838,21.877518273198525,1.3083029550840948,1.126192311066562
2023-01-24,3.635049782328763,23.191630000246626,1.3173522774732602,3.442244008382608
2023-01-25,3.477843659733684,24.706840922877397,1.3260112399518198,4.2529092805392565
2023-01-26,3.040363595520087,24.197021067270086,1.3342772766823152,2.493550920059367
2023-01-27,2.5415359012858594,27.45732078691177,1.3421479382596675,3.686727889673452
2023-01-28,0.8568053988584756,27.949681024139686,1.3496208924369888,5.371339981360659
2023-01-29,2.5578172032800923,29.1423798744237,1.3566939248166765,3.4440176761904038
2023-01-30,3.404679036992053,29.003268398109686,1.3633649395065883,4.704721543684702
2023-01-31,3.0584159843451992,31.661294459841724,1.3696319597410986,3.2100860662503683
2023-02-01,3.8623022684494757,32.48931027950605,1.017065195364951,4.161207019696966
2023-02-02,2.78564070744265,32.858102466856934,1.0338290123624505,4.434768365254426
2023-02-03,1.1753543497698278,31.295134859447472,1.0502864835117298,4.5754416250710745
2023-02-04,1.6624958847506524,36.74570158178153,1.0664327321089055,3.7296029469916623
2023-02-05,2.9643729501678884,35.81343501970463,1.0822629736720544,4.8429027121089305
2023-02-06,3.070216235102094,38.33339420862337,1.0977725173589559,3.3432810272743043
2023-02-07,2.8383796594471105,36.889234082428786,1.1129567673570928,2.5384177280679614
2023-02-08,2.221772117258725,40.68343837824564,1.1278112242454876,3.853328551739091
2023-02-09,3.3975767665159053,40.474861817692904,1.1423314863279788,4.070440300418674
2023-02-10,2.3255625590094837,42.22197560264557,1.1565132509375382,4.126778381583814
